id;owner_type;owner_id;field_name;value
1;front-end matrix;25572;lime Executive Response;50111
2;multi-byte Quality-focused;86868;Data array;20560
3;Coordinator;75386;bandwidth Tasty;70636
4;invoice Producer Buckinghamshire;49851;redundant Lev Metal;58111
5;Account Cambridgeshire 中心;89403;firewall;897
6;black;20910;bandwidth;99130
7;CSS cohesive withdrawal;16510;projection;17588
8;Vision-oriented GB;98855;Down-sized;58335
9;旁 Designer Pizza;1479;payment Kwacha SSL;42687
10;中心 transmit;72132;Sausages Kuwaiti virtual;17901
