id;owner_type;owner_id;field_name;value
1;Gorgeous SAS magenta;24396;Card;true
2;Internal fuchsia optimize;43348;Computers;false
3;connect Granite secured;85901;experiences;false
4;Refined orchid Portugal;92218;Lithuanian Upgradable;false
5;back-end auxiliary Avon;92882;mindshare;false
6;Grocery sticky;45770;e-business Consultant firmware;true
7;Grocery;75165;Ameliorated;false
8;Money repurpose Account;1971;Games access Cambridgeshire;false
9;backing Direct;10039;infomediaries proactive Global;false
10;Bike Games;78707;Jewelery Avon;false
