id;owner_type;owner_id;field_name;value
1;Enhanced 天津市;82445;湖南省;46879
2;scalable hacking connecting;72281;partnerships;53027
3;deposit matrix Wooden;84817;integrated program;18114
4;Small Brand;97136;Multi-layered aggregate matrix;62410
5;matrix 路;89487;open-source payment Outdoors;7025
6;sensor;76161;Moldovan invoice;37379
7;Fantastic Norway Distributed;279;GB Awesome Games;12848
8;Officer wireless;29520;interface card Ball;22470
9;Reverse-engineered;56308;Avon Clothing Monetary;85198
10;Benin;50972;expedite Salad;43770
