id;owner_type;owner_id;field_name;value
1;port Configuration Concrete;13766;data-warehouse;Chief
2;Argentina;69368;bypassing Borders;Chief
3;Account seamless Auto;13826;Steel AGP;Metal blue Bike
4;conglomeration solid;84675;Customer-focused Automotive Granite;Intelligent pink Steel
5;deposit approach;46679;killer;栋 matrix calculate
6;Soft Cambridgeshire 安徽省;88273;Frozen Officer database;Account Tuna Devolved
7;Cambridgeshire Mouse 山东省;7853;SQL Market;system
8;Cambridgeshire optimize;50078;Agent Human;invoice Salad Representative
9;card Handmade;29151;Cotton;Internal
10;gold Beauty state;30355;Assurance Frozen;SCSI integrated turquoise
