id;owner_type;owner_id;field_name;value
1;parse;30998;quantify scalable;../fake-data/blob/hipster.txt
2;Shoes Developer;62853;iterate;../fake-data/blob/hipster.txt
3;山西省 Car channels;9958;non-volatile brand Dollar;../fake-data/blob/hipster.txt
4;Bike Shoes;7968;Response quantifying Generic;../fake-data/blob/hipster.txt
5;Comoro challenge asynchronous;55957;Sausages 路;../fake-data/blob/hipster.txt
6;ROI seize Gorgeous;98308;Tasty;../fake-data/blob/hipster.txt
7;Technician executive;75282;International architectures;../fake-data/blob/hipster.txt
8;eyeballs;43501;user-centric;../fake-data/blob/hipster.txt
9;Books;11711;haptic;../fake-data/blob/hipster.txt
10;XML Dollar;58020;Bedfordshire;../fake-data/blob/hipster.txt
