id;owner_type;owner_id;field_name;value
1;ROI open-source;52568;card;2021-06-14T10:12:04
2;empowering 巷;83179;microchip Keyboard extend;2021-06-13T15:11:10
3;Tactics;15731;didactic;2021-06-14T12:15:33
4;SCSI virtual state;45606;Coordinator Granite Garden;2021-06-14T14:02:55
5;PNG evolve;14606;Senior;2021-06-14T02:58:28
6;Tasty;95924;Awesome Rubber ubiquitous;2021-06-13T19:40:57
7;alliance;9379;Sleek;2021-06-14T07:05:06
8;Frozen mindshare Guarani;10447;multi-state Taiwan task-force;2021-06-14T05:27:30
9;parsing Lilangeni Seychelles;94228;clicks-and-mortar 内蒙古 Pound;2021-06-13T20:24:14
10;Bacon (Slovak;54122;Visionary Future Concrete;2021-06-14T13:01:23
